Year,Country,Disease,cfr,Cases,Death
1996,Albania,Polio,0.106060606,66,7
1996,Algeria,Typhoid fever,0.001098901,910,1
1996,Benin,Yellow fever,47.674418599999996,86,41
1996,Bosnia and Herzegovina,Haemorrhagic fever with renal syndrome,0.013623978,367,5
1996,Gabon,Ebola,66.66666667,201,42
1996,India,Dengue,38.06451613,930,354
1996,Japan,Encephalitis,0.163212435,772,126
1996,Liberia,Yellow fever,2.506963788,359,9
1996,Malaysia,Dengue,1.6009852219999998,812,13
1996,Mexico,Encephalitis,5.0,2,10
1996,Mongolia,Cholera,4.716981132,106,5
1996,Nigeria,Cholera,92.76190476,525,487
1996,Philippines,Ebola,inf,0,2
1996,Sierra Leone,Lassa fever,5.691056911,246,14
1996,South Africa,Ebola,0.571428571,350,2
1996,Tanzania,Cholera,6.0,100,6
1996,Thailand,Diphtheria,0.055555556,72,4
1997,Bolivia,Yellow fever,33.33333333,30,10
1997,Congo,Monkeypox,0.9784735809999999,511,5
1997,Cuba,Dengue,0.000857143,350000,3
1997,Djibouti,Cholera,3.5066505439999998,827,29
1997,Gabon,Ebola,22.3880597,61,45
1997,Malaysia,Dengue,8.536585366,328,28
1997,Malaysia,Myocarditis,23.00884956,113,26
1997,Mozambique,Cholera,0.18028846199999998,1664,3
1997,Nepal,Encephalitis,90.28340081,247,223
1997,Sierra Leone,Lassa fever,2.8785982480000003,799,23
1997,Somalia,Cholera,inf,1535,247
1997,Zambia,Plague,9.737827715,267,26
1998,Afghanistan,Cholera,0.86,10000,86
1998,Cambodia,Dengue,1.321585903,227,3
1998,China,Enterovirus,20.29520295,271,55
1998,Congo,Crimean-Congo haemorrhagic fever,100.0,4,4
1998,France,Legionellosis,15.78947368,19,3
1998,Hong Kong,Influenza,33.33333333,18,6
1998,Kenya,Rift Valley fever,100.0,300,300
1998,Malaysia,Dengue,0.255832992,19544,50
1998,Mauritania,Rift Valley fever,1.5,400,6
1998,Sri Lanka,Cholera,0.083526682,431,36
1998,Uganda,Plague,0.079411765,340,27
1998,Zimbabwe,Cholera,1.299907149,5385,70
1999,Angola,Polio,6.202723147,661,41
1999,Brazil,Cholera,1.276595745,235,3
1999,Burundi,Malaria,0.45333333299999995,75,34
1999,Comoros,Cholera,9.708737864,103,10
1999,Congo,Acute haemorrhagic fever syndrome,92.0,50,46
1999,Congo,Crimean-Congo haemorrhagic fever,9.230769231,65,6
1999,Congo,Viral haemorrhagic fever,67.74193548,93,63
1999,Guinea,Meningococcal disease,3.87275242,2169,84
1999,Malaysia,Encephalitis,34.39490446,157,54
1999,Namibia,Plague,0.205128205,39,8
1999,Netherlands,Legionellosis,0.065,200,13
1999,Nigeria,Cholera,2.208588957,815,18
1999,Somalia,Cholera,1.556016598,964,15
1999,South Africa,Rift Valley fever,33.33333333,3,1
1999,Sudan,Meningococcal disease,0.1,1000000,1000
1999,United States,Encephalitis,6.25,80,5
1999,Zambia,Cholera,0.522193211,766,4
2000,Afghanistan,Acute haemorrhagic fever syndrome,75.0,27,16
2000,Congo,Viral haemorrhagic fever,85.71428571,7,6
2000,Ethiopia,Meningococcal disease,3.3457249069999997,269,9
2000,France,Meningococcal disease,2.010050251,199,4
2000,Guinea,Yellow fever,37.109375,512,190
2000,Indonesia,Meningococcal disease,0.222222222,27,6
