Disease,Country,Year,cfr,Cases,Death
Acute haemorrhagic fever syndrome,Afghanistan,2000,75.0,27,16
Acute haemorrhagic fever syndrome,Angola,2005,inf,0,39
Acute haemorrhagic fever syndrome,Congo,1999,92.0,50,46
Acute haemorrhagic fever syndrome,Congo,2002,5.0,40,2
Acute haemorrhagic fever syndrome,Congo,2003,72.13114754,61,44
Acute haemorrhagic fever syndrome,Gabon,2002,6.451612902999999,31,2
Acute haemorrhagic fever syndrome,Yemen,2000,2.353982301,113,266
Acute neurological syndrome,Bangladesh,2001,32.14285714,28,9
Acute respiratory syndrome,China,2003,1.6393442619999998,305,5
Acute respiratory syndrome,Congo,2002,12.5,4000,500
Anthrax,United States,2001,21.73913043,23,5
Avian,Azerbaijan,2006,83.33333333,8,5
Avian,Cambodia,2005,0.14,12,2
Avian,Cambodia,2008,87.5,8,7
Avian,Cambodia,2009,77.78,9,7
Avian,Cambodia,2010,80.0,10,8
Avian,Cambodia,2011,84.62,53,11
Avian,Cambodia,2012,90.0,20,18
Avian,Cambodia,2013,80.0,5,4
Avian,Canada,2004,3.333333333,30,1
Avian,Canada,2015,3.333333333,1,1
Avian,China,2004,66.66666667,21,14
Avian,China,2005,17.5,80,14
Avian,China,2006,68.75,21,14
Avian,China,2007,64.0,27,17
Avian,China,2008,66.66666667,30,20
Avian,China,2009,65.78947368,38,25
Avian,China,2010,66.66666667,39,26
Avian,China,2012,65.85365854,41,27
Avian,China,2013,2.2,1000,22
Avian,China,2014,50.0,11,5
Avian,China,2015,60.0,83,19
Avian,China,2016,57.14285714,806,11
Avian,China,2017,20.0,304,36
Avian,Egypt,2006,46.66666667,15,7
Avian,Egypt,2007,44.18604651,41,16
Avian,Egypt,2008,45.09803922,51,23
Avian,Egypt,2009,41.81818182,90,27
Avian,Egypt,2010,32.78688525,115,38
Avian,Egypt,2011,34.66666667,156,54
Avian,Egypt,2012,35.92814371,168,60
Avian,Germany,2006,inf,0,3
Avian,Hong Kong,2004,0.736842105,19,14
Avian,Indonesia,2005,68.75,300,13
Avian,Indonesia,2006,77.77777778,74,57
Avian,Indonesia,2007,81.03448276,116,94
Avian,Indonesia,2008,81.75182482,139,113
Avian,Indonesia,2009,81.56028369,141,115
Avian,Indonesia,2010,82.94117647,171,141
Avian,Indonesia,2011,82.48587571,182,150
Avian,Indonesia,2012,83.06878307,189,157
Avian,Iraq,2006,inf,0,2
Avian,Netherlands,2003,0.012048193,83,1
Avian,Nigeria,2006,inf,0,450000
Avian,Pakistan,2007,12.5,8,1
Avian,Pakistan,2008,14.28571429,7,1
Avian,Thailand,2004,70.58823529,22,12
Avian,Thailand,2005,61.9047619,21,13
Avian,Thailand,2006,68.0,25,17
Avian,Turkey,2006,2.777777778,144,4
Avian,Viet Nam,2004,71.11111111,45,32
Avian,Viet Nam,2005,71.11111111,69,46
Avian,Viet Nam,2007,80.0,101,47
Avian,Viet Nam,2008,49.05660377,106,52
Avian,Viet Nam,2009,50.89285714,112,57
Avian,Viet Nam,2010,50.42735043,119,59
Avian,Viet Nam,2012,49.59349593,123,61
COVID-19,Afghanistan,2020,1.351351351,74,1
COVID-19,Albania,2020,4.06504065,123,5
COVID-19,Algeria,2020,7.196969697,264,19
COVID-19,Andorra,2020,0.609756098,164,1
COVID-19,Argentina,2020,1.5503875969999998,387,6
COVID-19,Australia,2020,0.8557457209999999,818,7
COVID-19,Austria,2020,0.530001893,5283,28
COVID-19,Azerbaijan,2020,1.1494252870000001,87,1
COVID-19,Bahrain,2020,0.765306122,392,3
COVID-19,Bangladesh,2020,10.25641026,39,4
COVID-19,Belgium,2020,2.8578121339999996,4269,122
COVID-19,Bosnia and Herzegovina,2020,1.807228916,166,3
COVID-19,Brazil,2020,2.04717401,2247,46
COVID-19,Bulgaria,2020,1.376146789,218,3
COVID-19,Burkina Faso,2020,3.50877193,114,4
COVID-19,Cabo Verde,2020,33.33333333,3,1
COVID-19,Canada,2020,1.283316881,1013,13
