Country,Disease,Year,cfr,Cases,Death
Afghanistan,Acute haemorrhagic fever syndrome,2000,75.0,27,16
Afghanistan,COVID-19,2020,1.351351351,74,1
Afghanistan,Cholera,1998,0.86,10000,86
Afghanistan,Dengue,2019,7.142857143,14,1
Afghanistan,Diphtheria,2003,0.040540541,74,3
Albania,COVID-19,2020,4.06504065,123,5
Albania,Polio,1996,0.106060606,66,7
Algeria,COVID-19,2020,7.196969697,264,19
Algeria,Cholera,2018,0.00921659,217,2
Algeria,Plague,2003,10.0,10,1
Algeria,Typhoid fever,1996,0.001098901,910,1
Andorra,COVID-19,2020,0.609756098,164,1
Angola,Acute haemorrhagic fever syndrome,2005,inf,0,39
Angola,Cholera,2006,6.183849471,30612,1893
Angola,Marburg haemorrhagic fever,2005,inf,423,357
Angola,Meningococcal disease,2001,3.626943005,193,7
Angola,Polio,1999,6.202723147,661,41
Angola,Yellow fever,2016,33.84615385,130000,44000
Argentina,COVID-19,2020,1.5503875969999998,387,6
Australia,COVID-19,2020,0.8557457209999999,818,7
Austria,COVID-19,2020,0.530001893,5283,28
Azerbaijan,Avian,2006,83.33333333,8,5
Azerbaijan,COVID-19,2020,1.1494252870000001,87,1
Bahrain,COVID-19,2020,0.765306122,392,3
Bahrain,MERS-CoV,2016,0.36173913,1725,624
Bangladesh,Acute neurological syndrome,2001,32.14285714,28,9
Bangladesh,COVID-19,2020,10.25641026,39,4
Bangladesh,Diphtheria,2017,0.018656716,804,15
Bangladesh,Nipah virus,2004,0.6,30,18
Belgium,COVID-19,2020,2.8578121339999996,4269,122
Benin,Lassa fever,2016,51.85185185,71,28
Benin,Yellow fever,1996,47.674418599999996,86,41
Bolivia,Yellow fever,1997,33.33333333,30,10
Bosnia and Herzegovina,COVID-19,2020,1.807228916,166,3
Bosnia and Herzegovina,Haemorrhagic fever with renal syndrome,1996,0.013623978,367,5
Brazil,COVID-19,2020,2.04717401,2247,46
Brazil,Cholera,1999,1.276595745,235,3
Brazil,Dengue,2008,11.75438596,570,67
Brazil,Measles,2018,0.00201005,995,2
Brazil,Microcephaly,2015,1.1972274729999999,1761,19
Brazil,Microcephaly,2016,1.1972274729999999,3174,38
Brazil,Yellow fever,2001,12.5,48,6
Brazil,Yellow fever,2017,20.79207921,1336,215
Brazil,Yellow fever,2018,32.78008299,723,237
Brazil,Yellow fever,2019,35.10174419,1376,483
Bulgaria,COVID-19,2020,1.376146789,218,3
Burkina Faso,COVID-19,2020,3.50877193,114,4
Burkina Faso,Meningococcal disease,2002,76.14991482,587,447
Burkina Faso,Meningococcal disease,2003,55.30612245,980,542
Burundi,Malaria,1999,0.45333333299999995,75,34
Cabo Verde,COVID-19,2020,33.33333333,3,1
Cambodia,Avian,2005,0.14,12,2
Cambodia,Avian,2008,87.5,8,7
Cambodia,Avian,2009,77.78,9,7
Cambodia,Avian,2010,80.0,10,8
Cambodia,Avian,2011,84.62,53,11
Cambodia,Avian,2012,90.0,20,18
Cambodia,Avian,2013,80.0,5,4
Cambodia,Dengue,1998,1.321585903,227,3
Cameroon,Cholera,2018,0.2,1500,3
Cameroon,Yellow fever,2012,30.43478261,23,7
Canada,Avian,2004,3.333333333,30,1
Canada,Avian,2015,3.333333333,1,1
Canada,COVID-19,2020,1.283316881,1013,13
Canada,SARS,2003,15.07936508,252,38
Canada,Seoul virus,2017,0.181818182,11,2
Canada,West Nile,2002,2.3809523809999997,84,2
Central African Republic,Meningococcal disease,2004,0.11627907,43,5
Central African Republic,Yellow fever,2009,3.75,80,3
Chad,Cholera,2001,3.176834411,3557,113
Chad,Hepatitis,2017,0.577200577,693,4
Chile,COVID-19,2020,0.21691974,922,2
China,Acute respiratory syndrome,2003,1.6393442619999998,305,5
China,Avian,2004,66.66666667,21,14
China,Avian,2005,17.5,80,14
China,Avian,2006,68.75,21,14
China,Avian,2007,64.0,27,17
China,Avian,2008,66.66666667,30,20
China,Avian,2009,65.78947368,38,25
