Country,Disease,Year,outbreak_cluster
Afghanistan,Acute haemorrhagic fever syndrome,2000,1
Afghanistan,COVID-19,2020,0
Afghanistan,Cholera,1998,5
Afghanistan,Dengue,2019,0
Afghanistan,Diphtheria,2003,0
Albania,COVID-19,2020,0
Albania,Polio,1996,0
Algeria,COVID-19,2020,0
Algeria,Cholera,2018,0
Algeria,Plague,2003,0
Algeria,Typhoid fever,1996,0
Andorra,COVID-19,2020,0
Angola,Acute haemorrhagic fever syndrome,2005,0
Angola,Cholera,2006,0
Angola,Marburg haemorrhagic fever,2005,1
Angola,Meningococcal disease,2001,0
Angola,Polio,1999,3
Angola,Yellow fever,2016,3
Argentina,COVID-19,2020,0
Australia,COVID-19,2020,0
Austria,COVID-19,2020,0
Azerbaijan,Avian,2006,1
Azerbaijan,COVID-19,2020,0
Bahrain,COVID-19,2020,0
Bahrain,MERS-CoV,2016,0
Bangladesh,Acute neurological syndrome,2001,1
Bangladesh,COVID-19,2020,0
Bangladesh,Diphtheria,2017,0
Bangladesh,Nipah virus,2004,0
Belgium,COVID-19,2020,0
Benin,Lassa fever,2016,2
Benin,Yellow fever,1996,0
Bolivia,Yellow fever,1997,2
Bosnia and Herzegovina,COVID-19,2020,0
Bosnia and Herzegovina,Haemorrhagic fever with renal syndrome,1996,0
Brazil,COVID-19,2020,0
Brazil,Cholera,1999,0
Brazil,Dengue,2008,0
Brazil,Measles,2018,0
Brazil,Microcephaly,2015,0
Brazil,Microcephaly,2016,0
Brazil,Yellow fever,2001,9
Brazil,Yellow fever,2017,6
Brazil,Yellow fever,2018,3
Brazil,Yellow fever,2019,1
Bulgaria,COVID-19,2020,0
Burkina Faso,COVID-19,2020,0
Burkina Faso,Meningococcal disease,2002,6
Burkina Faso,Meningococcal disease,2003,4
Burundi,Malaria,1999,0
Cabo Verde,COVID-19,2020,0
Cambodia,Avian,2005,17
Cambodia,Avian,2008,12
Cambodia,Avian,2009,11
Cambodia,Avian,2010,10
Cambodia,Avian,2011,9
Cambodia,Avian,2012,2
Cambodia,Avian,2013,0
Cambodia,Dengue,1998,0
Cameroon,Cholera,2018,0
Cameroon,Yellow fever,2012,1
