,Disease,Transmission_Medium,Host_for_Parasite,Pathogens,Host_for_Parasite.1,Source,Vaccination,Maximum_Incubation,cfr,Cases,Death
0,Acute haemorrhagic fever syndrome,person to person blood bodily fluids,not specific,Virus,not specific,zootonic,0,7,inf,113,266
0,Acute haemorrhagic fever syndrome,person to person blood bodily fluids,not specific,Virus,not specific, mosquito,0,7,inf,113,266
0,Acute haemorrhagic fever syndrome,person to person blood bodily fluids,not specific, Bacteria,not specific,zootonic,0,7,inf,113,266
0,Acute haemorrhagic fever syndrome,person to person blood bodily fluids,not specific, Bacteria,not specific, mosquito,0,7,inf,113,266
0,Acute haemorrhagic fever syndrome, person to person cough sneeze aerosol,not specific,Virus,not specific,zootonic,0,7,inf,113,266
0,Acute haemorrhagic fever syndrome, person to person cough sneeze aerosol,not specific,Virus,not specific, mosquito,0,7,inf,113,266
0,Acute haemorrhagic fever syndrome, person to person cough sneeze aerosol,not specific, Bacteria,not specific,zootonic,0,7,inf,113,266
0,Acute haemorrhagic fever syndrome, person to person cough sneeze aerosol,not specific, Bacteria,not specific, mosquito,0,7,inf,113,266
0,Acute haemorrhagic fever syndrome,  mosquito bite,not specific,Virus,not specific,zootonic,0,7,inf,113,266
0,Acute haemorrhagic fever syndrome,  mosquito bite,not specific,Virus,not specific, mosquito,0,7,inf,113,266
0,Acute haemorrhagic fever syndrome,  mosquito bite,not specific, Bacteria,not specific,zootonic,0,7,inf,113,266
0,Acute haemorrhagic fever syndrome,  mosquito bite,not specific, Bacteria,not specific, mosquito,0,7,inf,113,266
0,Acute haemorrhagic fever syndrome, person to person stools of infected person,not specific,Virus,not specific,zootonic,0,7,inf,113,266
0,Acute haemorrhagic fever syndrome, person to person stools of infected person,not specific,Virus,not specific, mosquito,0,7,inf,113,266
0,Acute haemorrhagic fever syndrome, person to person stools of infected person,not specific, Bacteria,not specific,zootonic,0,7,inf,113,266
0,Acute haemorrhagic fever syndrome, person to person stools of infected person,not specific, Bacteria,not specific, mosquito,0,7,inf,113,266
0,Acute haemorrhagic fever syndrome, contaminated food,not specific,Virus,not specific,zootonic,0,7,inf,113,266
0,Acute haemorrhagic fever syndrome, contaminated food,not specific,Virus,not specific, mosquito,0,7,inf,113,266
0,Acute haemorrhagic fever syndrome, contaminated food,not specific, Bacteria,not specific,zootonic,0,7,inf,113,266
0,Acute haemorrhagic fever syndrome, contaminated food,not specific, Bacteria,not specific, mosquito,0,7,inf,113,266
0,Acute haemorrhagic fever syndrome, contaminated water,not specific,Virus,not specific,zootonic,0,7,inf,113,266
0,Acute haemorrhagic fever syndrome, contaminated water,not specific,Virus,not specific, mosquito,0,7,inf,113,266
