Year,Country,Disease,cfr,Cases,Death
1996,Benin,Yellow fever,47.6744186,86,41
1996,Gabon,Ebola,66.66666667,201,42
1996,India,Dengue,38.06451613,930,354
1996,Nigeria,Cholera,92.76190476,525,487
1996,Sierra Leone,Lassa fever,5.691056911,246,14
1997,Bolivia,Yellow fever,33.33333333,30,10
1997,Gabon,Ebola,22.3880597,61,45
1997,Malaysia,Myocarditis,23.00884956,113,26
1997,Nepal,Encephalitis,90.28340081,247,223
1997,Zambia,Plague,9.737827715,267,26
1998,China,Enterovirus,20.29520295,271,55
1998,France,Legionellosis,15.78947368,19,3
1998,Kenya,Rift Valley fever,100,300,300
1998,Malaysia,Dengue,0.255832992,19544,50
1998,Zimbabwe,Cholera,1.299907149,5385,70
1999,Comoros,Cholera,9.708737864,103,10
1999,Congo,Acute haemorrhagic fever syndrome,92,50,46
1999,Congo,Viral haemorrhagic fever,67.74193548,93,63
1999,Malaysia,Encephalitis,34.39490446,157,54
1999,South Africa,Rift Valley fever,33.33333333,3,1
2000,Afghanistan,Acute haemorrhagic fever syndrome,75,27,16
2000,Saudi Arabia,Rift Valley fever,17.15575621,443,76
2000,Sudan,Meningococcal disease,35.88342441,549,197
2000,Uganda,Ebola,11,426,165
2001,Bangladesh,Acute neurological syndrome,32.14285714,28,9
2001,Brazil,Yellow fever,12.5,48,6
2001,Congo,Ebola,83.33333333,29,20
2001,Gabon,Ebola,81.66666667,27,18
2001,United States,Anthrax,21.73913043,23,5
2002,Burkina Faso,Meningococcal disease,76.14991482,587,447
2002,Congo,Ebola,89.51048951,60,50
2002,Gabon,Ebola,81.66666667,60,49
2002,Madagascar,Influenza,83.04455446,808,671
2002,United States,West Nile,21.91069574,963,211
2003,Burkina Faso,Meningococcal disease,55.30612245,980,542
2003,Canada,SARS,15.07936508,252,38
2003,Congo,Acute haemorrhagic fever syndrome,72.13114754,61,44
2003,Congo,Ebola,89.51048951,143,128
2003,"Hong Kong SAR, China",SARS,16.98005698,1755,298
2003,Niger,Meningococcal disease,9.484435798,2056,195
2003,Philippines,SARS,14.28571429,14,2
2003,Singapore,SARS,15.53398058,206,32
2003,Taiwan,SARS,8.940518185,8221,735
2003,Thailand,SARS,22.22222222,9,2
