,Index,ID,Date,Country,Disease,Update,Month,Year,Deaths,Pathogens,Disease_Scientific_Name,Vaccination,Lethality,Transmission_Medium,Minimum_Incubation,Maximum_Incubation,Host_for_Parasite,Source,Age_Group,Symptoms
0,2454,1128,1996-01-22,Liberia,Ebola,No,1,1996,0,Virus,Ebola,0,Brutal,"person to person blood bodily fluids, person to person cough sneeze aerosol, person to person sexual contact",2.0,21.0,fruit bats,zootonic,all,"Fever, Fatigue, Muscle pain, Headache, Sore throat, Vomiting, Diarrhoea, Rash, Symptoms of impaired kidney and liver function, In some cases, both internal and external bleeding"
1,2475,1120,1996-02-19,Gabon,Ebola,No,2,1996,10,Virus,Ebola,0,Brutal,"person to person blood bodily fluids, person to person cough sneeze aerosol, person to person sexual contact",2.0,21.0,fruit bats,zootonic,all,"Fever, Fatigue, Muscle pain, Headache, Sore throat, Vomiting, Diarrhoea, Rash, Symptoms of impaired kidney and liver function, In some cases, both internal and external bleeding"
2,2488,1118,1996-02-29,Gabon,Ebola,Yes,2,1996,17,Virus,Ebola,0,Brutal,"person to person blood bodily fluids, person to person cough sneeze aerosol, person to person sexual contact",2.0,21.0,fruit bats,zootonic,all,"Fever, Fatigue, Muscle pain, Headache, Sore throat, Vomiting, Diarrhoea, Rash, Symptoms of impaired kidney and liver function, In some cases, both internal and external bleeding"
3,2536,1116,1996-03-01,Gabon,Ebola,Yes,3,1996,18,Virus,Ebola,0,Brutal,"person to person blood bodily fluids, person to person cough sneeze aerosol, person to person sexual contact",2.0,21.0,fruit bats,zootonic,all,"Fever, Fatigue, Muscle pain, Headache, Sore throat, Vomiting, Diarrhoea, Rash, Symptoms of impaired kidney and liver function, In some cases, both internal and external bleeding"
4,2464,1095,1996-04-26,Gabon,Ebola,Yes,4,1996,0,Virus,Ebola,0,Brutal,"person to person blood bodily fluids, person to person cough sneeze aerosol, person to person sexual contact",2.0,21.0,fruit bats,zootonic,all,"Fever, Fatigue, Muscle pain, Headache, Sore throat, Vomiting, Diarrhoea, Rash, Symptoms of impaired kidney and liver function, In some cases, both internal and external bleeding"
5,2494,1093,1996-04-30,Philippines,Ebola,Yes,4,1996,0,Virus,Ebola,0,Brutal,"person to person blood bodily fluids, person to person cough sneeze aerosol, person to person sexual contact",2.0,21.0,fruit bats,zootonic,all,"Fever, Fatigue, Muscle pain, Headache, Sore throat, Vomiting, Diarrhoea, Rash, Symptoms of impaired kidney and liver function, In some cases, both internal and external bleeding"
6,2534,1049,1996-10-14,Gabon,Ebola,No,10,1996,0,Virus,Ebola,0,Brutal,"person to person blood bodily fluids, person to person cough sneeze aerosol, person to person sexual contact",2.0,21.0,fruit bats,zootonic,all,"Fever, Fatigue, Muscle pain, Headache, Sore throat, Vomiting, Diarrhoea, Rash, Symptoms of impaired kidney and liver function, In some cases, both internal and external bleeding"
7,2565,1048,1996-10-15,Gabon,Ebola,Yes,10,1996,10,Virus,Ebola,0,Brutal,"person to person blood bodily fluids, person to person cough sneeze aerosol, person to person sexual contact",2.0,21.0,fruit bats,zootonic,all,"Fever, Fatigue, Muscle pain, Headache, Sore throat, Vomiting, Diarrhoea, Rash, Symptoms of impaired kidney and liver function, In some cases, both internal and external bleeding"
8,2452,1044,1996-10-18,Gabon,Ebola,Yes,10,1996,11,Virus,Ebola,0,Brutal,"person to person blood bodily fluids, person to person cough sneeze aerosol, person to person sexual contact",2.0,21.0,fruit bats,zootonic,all,"Fever, Fatigue, Muscle pain, Headache, Sore throat, Vomiting, Diarrhoea, Rash, Symptoms of impaired kidney and liver function, In some cases, both internal and external bleeding"
9,2502,1043,1996-10-21,Gabon,Ebola,Yes,10,1996,11,Virus,Ebola,0,Brutal,"person to person blood bodily fluids, person to person cough sneeze aerosol, person to person sexual contact",2.0,21.0,fruit bats,zootonic,all,"Fever, Fatigue, Muscle pain, Headache, Sore throat, Vomiting, Diarrhoea, Rash, Symptoms of impaired kidney and liver function, In some cases, both internal and external bleeding"
10,2515,1036,1996-11-12,Gabon,Ebola,Yes,11,1996,17,Virus,Ebola,0,Brutal,"person to person blood bodily fluids, person to person cough sneeze aerosol, person to person sexual contact",2.0,21.0,fruit bats,zootonic,all,"Fever, Fatigue, Muscle pain, Headache, Sore throat, Vomiting, Diarrhoea, Rash, Symptoms of impaired kidney and liver function, In some cases, both internal and external bleeding"
11,2512,1033,1996-11-18,South Africa,Ebola,No,11,1996,0,Virus,Ebola,0,Brutal,"person to person blood bodily fluids, person to person cough sneeze aerosol, person to person sexual contact",2.0,21.0,fruit bats,zootonic,all,"Fever, Fatigue, Muscle pain, Headache, Sore throat, Vomiting, Diarrhoea, Rash, Symptoms of impaired kidney and liver function, In some cases, both internal and external bleeding"
12,2478,1032,1996-11-19,Gabon,Ebola,Yes,11,1996,0,Virus,Ebola,0,Brutal,"person to person blood bodily fluids, person to person cough sneeze aerosol, person to person sexual contact",2.0,21.0,fruit bats,zootonic,all,"Fever, Fatigue, Muscle pain, Headache, Sore throat, Vomiting, Diarrhoea, Rash, Symptoms of impaired kidney and liver function, In some cases, both internal and external bleeding"
13,2479,1030,1996-11-22,South Africa,Ebola,Yes,11,1996,0,Virus,Ebola,0,Brutal,"person to person blood bodily fluids, person to person cough sneeze aerosol, person to person sexual contact",2.0,21.0,fruit bats,zootonic,all,"Fever, Fatigue, Muscle pain, Headache, Sore throat, Vomiting, Diarrhoea, Rash, Symptoms of impaired kidney and liver function, In some cases, both internal and external bleeding"
14,2462,1029,1996-11-25,Gabon,Ebola,Yes,11,1996,42,Virus,Ebola,0,Brutal,"person to person blood bodily fluids, person to person cough sneeze aerosol, person to person sexual contact",2.0,21.0,fruit bats,zootonic,all,"Fever, Fatigue, Muscle pain, Headache, Sore throat, Vomiting, Diarrhoea, Rash, Symptoms of impaired kidney and liver function, In some cases, both internal and external bleeding"
15,2544,1027,1996-11-28,South Africa,Ebola,Yes,11,1996,0,Virus,Ebola,0,Brutal,"person to person blood bodily fluids, person to person cough sneeze aerosol, person to person sexual contact",2.0,21.0,fruit bats,zootonic,all,"Fever, Fatigue, Muscle pain, Headache, Sore throat, Vomiting, Diarrhoea, Rash, Symptoms of impaired kidney and liver function, In some cases, both internal and external bleeding"
16,2533,1021,1996-12-06,Gabon,Ebola,Yes,12,1996,19,Virus,Ebola,0,Brutal,"person to person blood bodily fluids, person to person cough sneeze aerosol, person to person sexual contact",2.0,21.0,fruit bats,zootonic,all,"Fever, Fatigue, Muscle pain, Headache, Sore throat, Vomiting, Diarrhoea, Rash, Symptoms of impaired kidney and liver function, In some cases, both internal and external bleeding"
17,2493,1018,1996-12-20,Gabon,Ebola,Yes,12,1996,7,Virus,Ebola,0,Brutal,"person to person blood bodily fluids, person to person cough sneeze aerosol, person to person sexual contact",2.0,21.0,fruit bats,zootonic,all,"Fever, Fatigue, Muscle pain, Headache, Sore throat, Vomiting, Diarrhoea, Rash, Symptoms of impaired kidney and liver function, In some cases, both internal and external bleeding"
18,2549,1017,1996-12-24,Gabon,Ebola,Yes,12,1996,30,Virus,Ebola,0,Brutal,"person to person blood bodily fluids, person to person cough sneeze aerosol, person to person sexual contact",2.0,21.0,fruit bats,zootonic,all,"Fever, Fatigue, Muscle pain, Headache, Sore throat, Vomiting, Diarrhoea, Rash, Symptoms of impaired kidney and liver function, In some cases, both internal and external bleeding"
19,237,1016,1997-01-02,Gabon,Ebola,Yes,1,1997,0,Virus,Ebola,0,Brutal,"person to person blood bodily fluids, person to person cough sneeze aerosol, person to person sexual contact",2.0,21.0,fruit bats,zootonic,all,"Fever, Fatigue, Muscle pain, Headache, Sore throat, Vomiting, Diarrhoea, Rash, Symptoms of impaired kidney and liver function, In some cases, both internal and external bleeding"
20,169,1014,1997-01-08,Gabon,Ebola,Yes,1,1997,41,Virus,Ebola,0,Brutal,"person to person blood bodily fluids, person to person cough sneeze aerosol, person to person sexual contact",2.0,21.0,fruit bats,zootonic,all,"Fever, Fatigue, Muscle pain, Headache, Sore throat, Vomiting, Diarrhoea, Rash, Symptoms of impaired kidney and liver function, In some cases, both internal and external bleeding"
21,209,1015,1997-01-08,Gabon,Ebola,Yes,1,1997,43,Virus,Ebola,0,Brutal,"person to person blood bodily fluids, person to person cough sneeze aerosol, person to person sexual contact",2.0,21.0,fruit bats,zootonic,all,"Fever, Fatigue, Muscle pain, Headache, Sore throat, Vomiting, Diarrhoea, Rash, Symptoms of impaired kidney and liver function, In some cases, both internal and external bleeding"
22,204,1012,1997-01-16,Gabon,Ebola,Yes,1,1997,44,Virus,Ebola,0,Brutal,"person to person blood bodily fluids, person to person cough sneeze aerosol, person to person sexual contact",2.0,21.0,fruit bats,zootonic,all,"Fever, Fatigue, Muscle pain, Headache, Sore throat, Vomiting, Diarrhoea, Rash, Symptoms of impaired kidney and liver function, In some cases, both internal and external bleeding"
23,191,1008,1997-01-21,Gabon,Ebola,Yes,1,1997,45,Virus,Ebola,0,Brutal,"person to person blood bodily fluids, person to person cough sneeze aerosol, person to person sexual contact",2.0,21.0,fruit bats,zootonic,all,"Fever, Fatigue, Muscle pain, Headache, Sore throat, Vomiting, Diarrhoea, Rash, Symptoms of impaired kidney and liver function, In some cases, both internal and external bleeding"
24,206,1000,1997-02-07,Gabon,Ebola,Yes,2,1997,45,Virus,Ebola,0,Brutal,"person to person blood bodily fluids, person to person cough sneeze aerosol, person to person sexual contact",2.0,21.0,fruit bats,zootonic,all,"Fever, Fatigue, Muscle pain, Headache, Sore throat, Vomiting, Diarrhoea, Rash, Symptoms of impaired kidney and liver function, In some cases, both internal and external bleeding"
25,179,995,1997-03-02,Gabon,Ebola,Yes,3,1997,75,Virus,Ebola,0,Brutal,"person to person blood bodily fluids, person to person cough sneeze aerosol, person to person sexual contact",2.0,21.0,fruit bats,zootonic,all,"Fever, Fatigue, Muscle pain, Headache, Sore throat, Vomiting, Diarrhoea, Rash, Symptoms of impaired kidney and liver function, In some cases, both internal and external bleeding"
26,351,153,2000-10-16,Uganda,Ebola,No,10,2000,35,Virus,Ebola,0,Brutal,"person to person blood bodily fluids, person to person cough sneeze aerosol, person to person sexual contact",2.0,21.0,fruit bats,zootonic,all,"Fever, Fatigue, Muscle pain, Headache, Sore throat, Vomiting, Diarrhoea, Rash, Symptoms of impaired kidney and liver function, In some cases, both internal and external bleeding"
27,401,152,2000-10-17,Uganda,Ebola,Yes,10,2000,35,Virus,Ebola,0,Brutal,"person to person blood bodily fluids, person to person cough sneeze aerosol, person to person sexual contact",2.0,21.0,fruit bats,zootonic,all,"Fever, Fatigue, Muscle pain, Headache, Sore throat, Vomiting, Diarrhoea, Rash, Symptoms of impaired kidney and liver function, In some cases, both internal and external bleeding"
28,380,149,2000-10-19,Uganda,Ebola,Yes,10,2000,41,Virus,Ebola,0,Brutal,"person to person blood bodily fluids, person to person cough sneeze aerosol, person to person sexual contact",2.0,21.0,fruit bats,zootonic,all,"Fever, Fatigue, Muscle pain, Headache, Sore throat, Vomiting, Diarrhoea, Rash, Symptoms of impaired kidney and liver function, In some cases, both internal and external bleeding"
29,341,147,2000-10-20,Uganda,Ebola,Yes,10,2000,47,Virus,Ebola,0,Brutal,"person to person blood bodily fluids, person to person cough sneeze aerosol, person to person sexual contact",2.0,21.0,fruit bats,zootonic,all,"Fever, Fatigue, Muscle pain, Headache, Sore throat, Vomiting, Diarrhoea, Rash, Symptoms of impaired kidney and liver function, In some cases, both internal and external bleeding"
