ID,Date,Country,Disease,Update,Month,Year,Cases,Deaths
2483,23/04/2009,Egypt,Avian,Yes,4,2009,67,23
2433,28/05/2009,Egypt,Avian,Yes,5,2009,76,27
2485,17/04/2009,Egypt,Avian,Yes,4,2009,64,23
2509,30/01/2009,Zimbabwe,Cholera,No,1,2009,0,0
2376,11/12/2009,Viet Nam,Avian,Yes,12,2009,112,57
2379,01/12/2009,Central African Republic,Yellow fever,No,12,2009,80,3
2475,30/04/2009,Congo,Yellow fever,No,4,2009,1,0
2498,27/02/2009,Viet Nam,Avian,Yes,2,2009,109,54
2502,18/02/2009,Viet Nam,Avian,Yes,2,2009,109,52
2494,10/03/2009,Egypt,Avian,Yes,3,2009,57,23
2487,08/04/2009,Viet Nam,Avian,Yes,4,2009,110,55
2508,02/02/2009,China,Avian,Yes,2,2009,38,25
2460,06/05/2009,Viet Nam,Avian,Yes,5,2009,111,56
2481,24/04/2009,Mexico,Influenza,No,4,2009,854,59
2484,21/04/2009,Egypt,Avian,Yes,4,2009,66,23
2398,24/09/2009,Egypt,Avian,Yes,9,2009,87,27
2382,20/11/2009,Egypt,Avian,Yes,11,2009,88,27
2429,02/06/2009,Egypt,Avian,Yes,6,2009,78,27
2515,14/01/2009,Egypt,Avian,Yes,1,2009,52,23
2496,02/03/2009,Egypt,Avian,Yes,3,2009,56,23
2505,09/02/2009,Egypt,Avian,Yes,2,2009,55,23
2380,27/11/2009,Egypt,Avian,Yes,11,2009,89,27
2402,31/08/2009,Egypt,Avian,Yes,8,2009,85,27
2425,09/06/2009,Zimbabwe,Cholera,Yes,6,2009,424,276
2486,08/04/2009,Egypt,Avian,Yes,4,2009,63,23
2520,06/01/2009,Nigeria,Polio,No,1,2009,1517,0
2482,23/04/2009,Chad,Meningococcal disease,No,4,2009,105,0
2479,26/04/2009,Mexico,Swine flu,Yes,4,2009,20,0
2431,01/06/2009,Egypt,Avian,Yes,6,2009,77,27
2516,14/01/2009,Guinea,Yellow fever,No,1,2009,21,3
2511,26/01/2009,Egypt,Avian,Yes,1,2009,53,23
2506,05/02/2009,Egypt,Avian,Yes,2,2009,54,23
2462,06/05/2009,Liberia,Yellow fever,No,5,2009,9,0
2514,19/01/2009,China,Avian,Yes,1,2009,34,22
2495,04/03/2009,Nigeria,Meningococcal disease,Yes,3,2009,333,0
2410,17/07/2009,Nigeria,Polio,No,7,2009,258,0
2510,27/01/2009,China,Avian,Yes,1,2009,37,25
2503,17/02/2009,Congo,Ebola,No,2,2009,32,15
2448,15/05/2009,Egypt,Avian,Yes,5,2009,69,26
2439,22/05/2009,Egypt,Avian,Yes,5,2009,74,27
2512,24/01/2009,China,Avian,Yes,1,2009,34,23
