Disease,Pathogens,Disease_Scientific_Name,Vaccination,Lethality,Transmission_Medium,Minimum_Incubation,Maximum_Incubation,Host_for_Parasite,Source,Age_Group,Symptoms
Acute diarrhoeal syndrome,"Virus, Bacteria, Parasite",Various,0,"Normal, Brutal","person to person stools of infected person, contaminated food, contaminated water",0,0,various,"zootonic, mosquito, soil, rodent",all,"loose bowel movements, abdominal pain, dehydration, intestinal bleeding"
Acute febrile syndrome,"Virus, Bacteria, Parasite",Various,0,"Normal, Brutal","person to person blood bodily fluids, person to person cough sneeze aerosol,  mosquito bite, person to person stools of infected person, contaminated food, contaminated water, livestock animal blood body fluids",0,0,various,"zootonic, mosquito",all,"high fever, chills, headache, myalgia"
Acute haemorrhagic fever syndrome,"Virus, Bacteria",Various,0,"Normal, Brutal","person to person blood bodily fluids, person to person cough sneeze aerosol,  mosquito bite, person to person stools of infected person, contaminated food, contaminated water, livestock animal blood body fluids",0,0,various,"zootonic, mosquito",all,"haemorrhagic or purpuric rash, epistaxis, haematemesis, haemoptysis, blood in stools"
Acute neurological syndrome,Virus,Various,1,"Normal, Brutal","person to person blood bodily fluids, person to person cough sneeze aerosol,  mosquito bite, person to person stools of infected person, contaminated food, contaminated water, livestock animal blood body fluids",0,0,various,"zootonic, mosquito",all,"progressive fever, malaise, headache, coma and death"
Acute respiratory syndrome,Virus,Acute respiratory syndrome,0,"Normal, Brutal",person to person cough sneeze aerosol,2,7,"animal, livestock",zootonic,all,"high fever (temperature greater than 100.4°F [>38.0°C]), headache, an overall feeling of discomfort, and body aches, mild respiratory symptoms at the outset. About 10 percent to 20 percent of patients have diarrhea. After 2 to 7 days, SARS patients may develop a dry cough. Most patients develop pneumonia."
Anthrax,Bacteria,Antrax,1,"Normal, Brutal","contaminated food, contaminated water, contaminated animal products, spores in the air",1,30,"livestock, soil, dust",zootonic,all,"Fever and chills, Chest Discomfort, Shortness of breath, Confusion, dizziness, Cough,  Nausea, vomiting, stomach pains, Headache, Sweats, Extreme tiredness, Body aches"
Avian,Virus,"H5N1, H7N9",0,"Normal, Brutal","person to person cough sneeze aerosol, contaminated food, contaminated water, infected birds, infected bird droppings, infected bird meat",2,5,birds,birds,all,"fever, cough,  sore throat, Muscle aches, Vomiting, diarrhea, eye infection (conjunctivitis)."
Botulism,Bacteria,Bacterium Clostridium botulinum,1,Brutal,"contaminated food, contaminated water, contact with contaminated soil",1,3,"soil, food, water",soil,"all, children","nausea, vomiting, diarrhea, abdominal distention, double or blurred vision, eyelids may droop, muscle weakness, dry mouth, dysphagia, difficulty swallowing, speech slurring"
Buffalopox,Virus,Buffalo pox ,0,Normal,contact with infected buffalo,3,19,buffalo,zootonic,all,"fever, lymphadenopathy, pox lesions"
Carbapenem-resistant P. aeruginosa,Bacteria,Pseudomonas aeruginosa,0,Normal,"contact with contaminated surfaces, contact with equipment used in patient care",1,2,"soil, food, water",soil,all,"pneumonia, urinary tract infections, puss filled infections on skin."
